PORT,VALUE
795,1
796,0
797,0
798,1
799,3
800,2
801,1
802,1
803,0
804,0
805,2
806,0
807,1
808,0
809,1
810,2
811,0
812,0
813,3
814,1
815,0
816,0
817,2
818,0
819,1
820,0
821,0
822,0
823,1
824,0
825,1
826,0
827,1
828,0
829,1
830,0
831,1
832,0
833,1
834,2
835,1
836,0
837,0
838,0
839,1
840,2
841,2
842,0
843,0
844,0
845,0
846,2
847,1
848,5
849,1
850,1
851,2
852,1
853,1
854,0
855,0
856,0
857,0
858,1
859,1
860,3
861,0
862,0
863,1
864,6
865,0
866,0
867,0
868,1
869,1
870,1
871,0
872,0
873,8
874,1
875,1
876,1
877,0
878,0
879,1
880,1
881,0
882,0
883,0
884,0
885,2
886,0
887,4
888,3
889,2
890,0
891,1
892,1
893,2
894,3
895,4
896,2
897,2
898,1
899,0
900,2
901,30
902,1
903,1
904,1
905,1
906,1
907,1
908,0
909,2
910,1
911,0
912,0
913,2
914,0
915,1
916,0
917,2
918,0
919,1
920,0
921,1
922,0
923,0
924,0
925,4
926,0
927,0
928,1
929,0
930,2
931,2
932,1
933,0
934,0
935,6
936,1
937,0
938,1
939,0
940,2
941,0
942,0
943,0
944,1
945,0
946,1
947,1
948,1
949,2
950,6
951,1
952,5
953,0
954,1
955,1
956,1
957,26
958,0
959,0
960,10
961,2
962,0
963,0
964,0
965,0
966,0
967,1
968,2
969,2
970,7
971,0
972,1
973,2
974,0
975,0
976,0
977,0
978,0
979,0
980,1
981,0
982,0
983,2
984,0
985,1
986,2
987,1
988,1
989,0
990,4
991,2
992,0
993,0
994,1
995,0
996,0
997,1
998,0
999,0
1000,0
1001,2
1002,1
1003,0
1004,1
1005,0
1006,0
1007,3
1008,0
1009,0
1010,1
1011,1
1012,1
1013,1
1014,0
1015,0
1016,1
1017,2
1018,0
1019,1
1020,2
1021,5
1022,0
1023,13
1024,17
